kode;nama_tindakan;kelas;biaya_dokter;biaya_rs
121;FEE I_TABLE 4A_CARDIAC SURGERY;ED;8950000;3130000
122;FEE I_TABLE 4A_DENTISTRY;ED;9130000;3200000
123;FEE I_TABLE 4A_ENT / OTORHINOLARYNGOLOGY;ED;9420000;3300000
124;FEE I_TABLE 4A_GENERAL SURGERY;ED;10890000;3810000
125;FEE I_TABLE 4A_NEUROSURGERY;ED;16150000;5650000
126;FEE I_TABLE 4A_OBSTETRICS AND GYNECOLOGY;ED;9240000;3230000
127;FEE I_TABLE 4A_OPHTHALMOLOGY;ED;9830000;3440000
128;FEE I_TABLE 4A_ORTHOPEDIC SURGERY;ED;12910000;4520000
129;FEE I_TABLE 4A_PEDIATRIC SURGERY;ED;12120000;4240000
130;FEE I_TABLE 4A_PLASTIC SURGERY;ED;11750000;4110000
131;FEE I_TABLE 4A_UROLOGICAL SURGERY;ED;10580000;3700000
132;FEE I_TABLE 4B_CARDIAC SURGERY;ED;10440000;3650000
133;FEE I_TABLE 4B_DENTISTRY;ED;9480000;3320000
134;FEE I_TABLE 4B_ENT / OTORHINOLARYNGOLOGY;ED;9870000;3450000
135;FEE I_TABLE 4B_GENERAL SURGERY;ED;11880000;4160000
136;FEE I_TABLE 4B_NEUROSURGERY;ED;19390000;6790000
137;FEE I_TABLE 4B_OBSTETRICS AND GYNECOLOGY;ED;10080000;3530000
138;FEE I_TABLE 4B_OPHTHALMOLOGY;ED;10530000;3690000
139;FEE I_TABLE 4B_ORTHOPEDIC SURGERY;ED;14350000;5020000
140;FEE I_TABLE 4B_PEDIATRIC SURGERY;ED;13330000;4670000
141;FEE I_TABLE 4B_PLASTIC SURGERY;ED;12930000;4530000
142;FEE I_TABLE 4B_UROLOGICAL SURGERY;ED;11760000;4120000
143;FEE I_TABLE 4C_CARDIAC SURGERY;ED;11930000;4180000
144;FEE I_TABLE 4C_DENTISTRY;ED;9830000;3440000
145;FEE I_TABLE 4C_ENT / OTORHINOLARYNGOLOGY;ED;10760000;3770000
146;FEE I_TABLE 4C_GENERAL SURGERY;ED;13370000;4680000
147;FEE I_TABLE 4C_NEUROSURGERY;ED;22620000;7920000
148;FEE I_TABLE 4C_OBSTETRICS AND GYNECOLOGY;ED;10920000;3820000
149;FEE I_TABLE 4C_OPHTHALMOLOGY;ED;11230000;3930000
150;FEE I_TABLE 4C_ORTHOPEDIC SURGERY;ED;15060000;5270000
151;FEE I_TABLE 4C_PEDIATRIC SURGERY;ED;14540000;5090000
152;FEE I_TABLE 4C_PLASTIC SURGERY;ED;13510000;4730000
153;FEE I_TABLE 4C_UROLOGICAL SURGERY;ED;12350000;4320000
154;FEE I_TABLE 5A_CARDIAC SURGERY;ED;13420000;4700000
155;FEE I_TABLE 5A_DENTISTRY;ED;11230000;3930000
156;FEE I_TABLE 5A_ENT / OTORHINOLARYNGOLOGY;ED;12110000;4240000
157;FEE I_TABLE 5A_GENERAL SURGERY;ED;13860000;4850000
158;FEE I_TABLE 5A_NEUROSURGERY;ED;25850000;9050000
159;FEE I_TABLE 5A_OBSTETRICS AND GYNECOLOGY;ED;11340000;3970000
160;FEE I_TABLE 5A_OPHTHALMOLOGY;ED;11930000;4180000
161;FEE I_TABLE 5A_ORTHOPEDIC SURGERY;ED;15780000;5520000
162;FEE I_TABLE 5A_PEDIATRIC SURGERY;ED;15760000;5520000
163;FEE I_TABLE 5A_PLASTIC SURGERY;ED;14690000;5140000
164;FEE I_TABLE 5A_UROLOGICAL SURGERY;ED;12940000;4530000
165;FEE I_TABLE 5B_CARDIAC SURGERY;ED;14910000;5220000
166;FEE I_TABLE 5B_DENTISTRY;ED;12640000;4420000
167;FEE I_TABLE 5B_ENT / OTORHINOLARYNGOLOGY;ED;13010000;4550000
168;FEE I_TABLE 5B_GENERAL SURGERY;ED;14360000;5030000
169;FEE I_TABLE 5B_NEUROSURGERY;ED;29080000;10180000
170;FEE I_TABLE 5B_OBSTETRICS AND GYNECOLOGY;ED;12180000;4260000
171;FEE I_TABLE 5B_OPHTHALMOLOGY;ED;12640000;4420000
172;FEE I_TABLE 5B_ORTHOPEDIC SURGERY;ED;16500000;5780000
173;FEE I_TABLE 5B_PEDIATRIC SURGERY;ED;16970000;5940000
174;FEE I_TABLE 5B_PLASTIC SURGERY;ED;15860000;5550000
175;FEE I_TABLE 5B_UROLOGICAL SURGERY;ED;14110000;4940000
176;FEE I_TABLE 5C_CARDIAC SURGERY;ED;16400000;5740000
177;FEE I_TABLE 5C_DENTISTRY;ED;14740000;5160000
178;FEE I_TABLE 5C_ENT / OTORHINOLARYNGOLOGY;ED;14350000;5020000
179;FEE I_TABLE 5C_GENERAL SURGERY;ED;14850000;5200000
180;FEE I_TABLE 5C_NEUROSURGERY;ED;32310000;11310000
181;FEE I_TABLE 5C_OBSTETRICS AND GYNECOLOGY;ED;13860000;4850000
182;FEE I_TABLE 5C_OPHTHALMOLOGY;ED;14040000;4910000
183;FEE I_TABLE 5C_ORTHOPEDIC SURGERY;ED;17210000;6020000
184;FEE I_TABLE 5C_PEDIATRIC SURGERY;ED;18180000;6360000
185;FEE I_TABLE 5C_PLASTIC SURGERY;ED;17040000;5960000
186;FEE I_TABLE 5C_UROLOGICAL SURGERY;ED;14700000;5150000
187;FEE I_TABLE 6A_CARDIAC SURGERY;ED;18640000;6520000
188;FEE I_TABLE 6A_DENTISTRY;ED;15800000;5530000
189;FEE I_TABLE 6A_ENT / OTORHINOLARYNGOLOGY;ED;16150000;5650000
